item_id,version_no,category_key,parent_id,parent_version,parent_category
15under,1,Age/Broad,T,1,Age/All
1664,1,Age/Broad,T,1,Age/All
65plus,1,Age/Broad,T,1,Age/All
0,1,Age/SYA,T,1,Age/All
1,1,Age/SYA,T,1,Age/All
2,1,Age/SYA,T,1,Age/All
3,1,Age/SYA,T,1,Age/All
4,1,Age/SYA,T,1,Age/All
5,1,Age/SYA,T,1,Age/All
6,1,Age/SYA,T,1,Age/All
7,1,Age/SYA,T,1,Age/All
8,1,Age/SYA,T,1,Age/All
9,1,Age/SYA,T,1,Age/All
10,1,Age/SYA,T,1,Age/All
11,1,Age/SYA,T,1,Age/All
12,1,Age/SYA,T,1,Age/All
13,1,Age/SYA,T,1,Age/All
14,1,Age/SYA,T,1,Age/All
15,1,Age/SYA,T,1,Age/All
16,1,Age/SYA,T,1,Age/All
17,1,Age/SYA,T,1,Age/All
18,1,Age/SYA,T,1,Age/All
19,1,Age/SYA,T,1,Age/All
20,1,Age/SYA,T,1,Age/All
21,1,Age/SYA,T,1,Age/All
22,1,Age/SYA,T,1,Age/All
23,1,Age/SYA,T,1,Age/All
24,1,Age/SYA,T,1,Age/All
25,1,Age/SYA,T,1,Age/All
26,1,Age/SYA,T,1,Age/All
27,1,Age/SYA,T,1,Age/All
28,1,Age/SYA,T,1,Age/All
29,1,Age/SYA,T,1,Age/All
30,1,Age/SYA,T,1,Age/All
31,1,Age/SYA,T,1,Age/All
32,1,Age/SYA,T,1,Age/All
33,1,Age/SYA,T,1,Age/All
34,1,Age/SYA,T,1,Age/All
35,1,Age/SYA,T,1,Age/All
36,1,Age/SYA,T,1,Age/All
37,1,Age/SYA,T,1,Age/All
38,1,Age/SYA,T,1,Age/All
39,1,Age/SYA,T,1,Age/All
40,1,Age/SYA,T,1,Age/All
41,1,Age/SYA,T,1,Age/All
42,1,Age/SYA,T,1,Age/All
43,1,Age/SYA,T,1,Age/All
44,1,Age/SYA,T,1,Age/All
45,1,Age/SYA,T,1,Age/All
46,1,Age/SYA,T,1,Age/All
47,1,Age/SYA,T,1,Age/All
48,1,Age/SYA,T,1,Age/All
49,1,Age/SYA,T,1,Age/All
50,1,Age/SYA,T,1,Age/All
51,1,Age/SYA,T,1,Age/All
52,1,Age/SYA,T,1,Age/All
53,1,Age/SYA,T,1,Age/All
54,1,Age/SYA,T,1,Age/All
55,1,Age/SYA,T,1,Age/All
56,1,Age/SYA,T,1,Age/All
57,1,Age/SYA,T,1,Age/All
58,1,Age/SYA,T,1,Age/All
59,1,Age/SYA,T,1,Age/All
60,1,Age/SYA,T,1,Age/All
61,1,Age/SYA,T,1,Age/All
62,1,Age/SYA,T,1,Age/All
63,1,Age/SYA,T,1,Age/All
64,1,Age/SYA,T,1,Age/All
65,1,Age/SYA,T,1,Age/All
66,1,Age/SYA,T,1,Age/All
67,1,Age/SYA,T,1,Age/All
68,1,Age/SYA,T,1,Age/All
69,1,Age/SYA,T,1,Age/All
70,1,Age/SYA,T,1,Age/All
71,1,Age/SYA,T,1,Age/All
72,1,Age/SYA,T,1,Age/All
73,1,Age/SYA,T,1,Age/All
74,1,Age/SYA,T,1,Age/All
75,1,Age/SYA,T,1,Age/All
76,1,Age/SYA,T,1,Age/All
77,1,Age/SYA,T,1,Age/All
78,1,Age/SYA,T,1,Age/All
79,1,Age/SYA,T,1,Age/All
80,1,Age/SYA,T,1,Age/All
81,1,Age/SYA,T,1,Age/All
82,1,Age/SYA,T,1,Age/All
83,1,Age/SYA,T,1,Age/All
84,1,Age/SYA,T,1,Age/All
85,1,Age/SYA,T,1,Age/All
86,1,Age/SYA,T,1,Age/All
87,1,Age/SYA,T,1,Age/All
88,1,Age/SYA,T,1,Age/All
89,1,Age/SYA,T,1,Age/All
