category_key,lang,description,notes
Age/All,cy-gb,Oed - pob,
Age/Broad,cy-gb,Oed - Eang,
Age/SYA,cy-gb,Oed - blwyddyn sengl,
Age/5YR,cy-gb,Oed - bandiau pum mlynedd,
Age/10Y,cy-gb,Oed - bandiau pum mlynedd,
Age/Educ,cy-gb,Oed - bandiau addysg,
Age/NSW7,cy-gb,Oed - Arolwg Cenedlaethol Cymru (manwl),
Age/NSW3,cy-gb,Oed - Arolwg Cenedlaethol Cymru (eang),
Age/All,en-gb,Age - all,
Age/Broad,en-gb,Age - Broad,
Age/SYA,en-gb,Age - single year,
Age/5YR,en-gb,Age - five year bands,
Age/10Y,en-gb,Age - ten year bands,
Age/Educ,en-gb,Age - education bands,
Age/NSW7,en-gb,Age - National Survey for Wales (detailed),
Age/NSW3,en-gb,Age - National Survey for Wales (broad),
Geog/AgriReg,cy-gb,Rhanbarth Amaethyddol,
Geog/BuiltUp,cy-gb,Ardal Adeiledig,
Geog/CFA,cy-gb,Ardal Cymunedau yn Gyntaf,
Geog/EconArea,cy-gb,Rhanbarth Economaidd,
Geog/EducCons,cy-gb,Consortia Addysg,
Geog/ElecWard,cy-gb,Ward Etholiadol,
Geog/ITL1,cy-gb,ITL1,
Geog/FireAuth,cy-gb,Awdurdod Tân ac Achub,
Geog/LA,cy-gb,Awdurdod Lleol,
Geog/LANP,cy-gb,Awdurdod Lleol o fewn/tu allan i’r Parc Cenedlaethol,
Geog/LHB,cy-gb,Bwrdd Lechyd Lleol,
Geog/NatPark,cy-gb,Parc Cenedlaethol,
Geog/ITL2,cy-gb,ITL2,
Geog/ITL3,cy-gb,ITL3,
Geog/PolAuth,cy-gb,Awdurdod yr Heddlu,
Geog/SenConst,cy-gb,Etholaeth Senedd,
Geog/SenReg,cy-gb,Rhanbarth Etholiadol Senedd,
Geog/UK,cy-gb,UK,
Geog/WestConst,cy-gb,Etholaeth San Steffan,
Geog/CityReg,cy-gb,Dinas Ranbarth,
Geog/LSOA,cy-gb,LSOA,
Geog/MSOA,cy-gb,MSOA,
Geog/AgriReg,en-gb,Agricultural Region,
Geog/BuiltUp,en-gb,Built-up Area,
Geog/CFA,en-gb,Communities First Area,
Geog/EconArea,en-gb,Economic Region,
Geog/EducCons,en-gb,Education Consortia,
Geog/ElecWard,en-gb,Electoral Ward,
Geog/ITL1,en-gb,ITL1,
Geog/FireAuth,en-gb,Fire and Rescue Authority,
Geog/LA,en-gb,Local Authority,
Geog/LANP,en-gb,Local Authority inside/outside National Parc,
Geog/LHB,en-gb,Local Health Board,
Geog/NatPark,en-gb,National Park,
Geog/ITL2,en-gb,ITL2,
Geog/ITL3,en-gb,ITL3,
Geog/PolAuth,en-gb,Police Authority,
Geog/SenConst,en-gb,Senedd Constituency,
Geog/SenReg,en-gb,Senedd Electoral Region,
Geog/UK,en-gb,UK,
Geog/WestConst,en-gb,Westminster Constituency,
Geog/CityReg,en-gb,City Region,
Geog/LSOA,en-gb,LSOA,
Geog/MSOA,en-gb,MSOA,
ItnlGeog/Country,cy-gb,Gwald,
Eth/Broad,cy-gb,Ethnigrwydd - Eang,
Eth/Detailed,cy-gb,Ethnigrwydd - Manwl,
Gen/Gen,cy-gb,Rhyw,
Rlgn/Rlgn,cy-gb,Cerfydd,
ServProv/HlthAuth,cy-gb,Darparwr Gwasanaeth - Awdurdod Iechyd,
ServProv/Hospital,cy-gb,Darparwr Gwasanaeth - Ysbyty,
ItnlGeog/Country,en-gb,Country,
Eth/Broad,en-gb,Ethnicity - Broad,
Eth/Detailed,en-gb,Ethnicity - Detailed,
Gen/Gen,en-gb,Gender,
Rlgn/Rlgn,en-gb,Religion,
ServProv/HlthAuth,en-gb,Service Provider - Health Authority,
ServProv/Hospital,en-gb,Service Provider - Hospital,
